EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010550649,UNITED LOT OWNERS OF CAMBRIA,% JAMES ENSLEY,4217 JORY TRL,LAS VEGAS,NV,89108-5210,0000,04,3,3000,200305,2,00,000000000,5,01,201812,0,0,02,0,12,0,0,0,L50,
010562781,TORTIE FOUNDATION,% STEPHEN F WITORT,6554 CHAMPETRE CT,RENO,NV,89511-5077,0000,03,3,1000,200305,1,04,000000000,1,01,201909,3,1,00,1,09,42357,1732,,T20,
010564549,SECOND MISSIONARY BAPTIST CHURCH OF PAHRUMP,,3651 HOMESTEAD RD,PAHRUMP,NV,89048-6416,0000,03,3,7000,200205,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010588006,NEVADA ROCK ART FOUNDATION,,PO BOX 2082,SPARKS,NV,89432-2082,0000,03,3,1200,200206,1,15,000000000,1,01,201812,3,2,02,0,12,43296,23430,23430,A40,
010592377,LIGHTHOUSE OF FAITH MINISTRIES,% JUAN GUTIERREZ,PO BOX 363406,N LAS VEGAS,NV,89036-7406,0000,03,3,7000,200506,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010596229,NEW DAY CHRISTIAN CHURCH INC,% LEROY ROYBAL,7948 CAPE BRETT ST,LAS VEGAS,NV,89131-4602,0000,03,3,7100,200209,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010633884,MISSIONARY CHURCH IN CHRIST,% FRANCISCO ALCANTARA,145 HUBBARD WAY,RENO,NV,89502-3708,0000,03,3,7000,200301,1,10,000000000,1,01,,0,0,06,0,12,,,,X990,
010640027,MGM RESORTS FOUNDATION,,840 GRIER RD,LAS VEGAS,NV,89119-3778,0000,03,3,1000,200209,1,15,000000000,1,01,201812,8,7,01,0,12,11951971,7293983,7293983,T30,
010642229,WINNEMUCCA REGIONAL RACEWAY ASSOCIATION,,PO BOX 2331,WINNEMUCCA,NV,89446-2331,0000,04,3,3000,201409,2,00,000000000,1,01,201812,2,3,01,0,12,10600,82159,82159,N50,
010653841,JOHNSON LANE VOLUNTEER FIRE DEPARTMENT,% RICHARD ATWOOD,PO BOX 778,MINDEN,NV,89423-0778,0000,04,3,1000,200512,1,00,000000000,5,01,201612,0,0,02,0,12,0,0,0,M24,
010655941,MELLOWTONES BIG BAND INC,% KURT SWANSON,5205 CORAL GLOW CT,LAS VEGAS,NV,89149-6415,0000,04,3,1000,200311,2,00,000000000,1,01,201912,0,0,02,0,12,0,0,0,A99,MELLOWTONES BIG BAND
010656610,SISTERS NETWORK INC-LAS VEGAS CHAPTER,,1221 LEONARD AVE,LAS VEGAS,NV,89106-2446,0000,03,3,1000,201403,1,15,994123000,1,01,201912,0,1,02,0,12,0,4165,4165,B99,LAS VEGAS CHAPTER
010706776,VOICE OF TRUTH APOSTOLIC CHURCH,% REV BILL HILTON JR,3030 E COUGAR ST,SILVER SPGS,NV,89429-7661,1621,03,9,7000,196402,1,10,001000000,5,01,,0,0,06,0,12,,,,,LANDMARK OF TRUTH
