EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010571875,RIVER OF LIFE COMMUNITY CHURCH,% JILL FRICK,120 S MAIN ST,CANTON,SD,57013-2243,2269,03,9,7000,197204,1,10,001059349,5,01,,0,0,06,0,12,,,,,
010581479,NORTHERN LIGHT OUTREACH CENTER,% JEAN DONNER,1829 E 34TH ST N,SIOUX FALL,SD,57104-5432,0000,03,3,1000,200211,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010622872,MAGGIE AND KEEGAN HACKETT FUND FOR SPECIAL NEEDS CHILDREN,% JOHN HACKETT,1702 ABBEY RD APT 327,PIERRE,SD,57501-7822,0000,03,3,1000,200407,1,15,000000000,5,01,201912,0,0,02,0,12,0,0,0,P118,
010635931,RUSHMORE CHAPTER OF ABATE INC,% KIM LOGSDON,PO BOX 1223,RAPID CITY,SD,57709-1223,0000,04,3,1000,201502,2,00,000000000,1,01,201912,0,0,02,0,12,0,0,0,T40,
010637738,LIVING WATER CHRISTIAN FELLOWSHIP,% RODGER WENZLAFF,413 W 15TH ST,YANKTON,SD,57078-2806,0000,03,3,7000,200311,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010638398,TOASTMASTERS INTERNATIONAL,% JOHN V HOLTER,1313 WEST BLVD,RAPID CITY,SD,57701-4547,0820,03,9,2000,194505,1,16,059319000,5,01,201912,0,0,02,0,12,0,0,0,,4024 NOONTIME THUNDER CLUB
010647550,BELLS OF THE HILLS INC,% MARGARET A BOSCH,700 44TH ST,RAPID CITY,SD,57702-2078,0000,03,3,2700,200209,1,15,000000000,1,01,201906,0,0,02,0,06,0,0,0,A6C,
010662458,ENCOUNTERS ON THE PRAIRIE-SD CHPT OF LEWIS & CLARK TRAIL HERITAGE,% WILLIAM ROBERT STEVENS,PO BOX 8,PIERRE,SD,57501-0008,0000,03,3,1200,201407,1,15,000000000,1,01,201909,0,0,02,0,09,0,0,0,A70,
010710918,MAIN STREET LIVING INC,% JOANN MEYER,1400 S DULUTH AVE,SIOUX FALLS,SD,57105-1711,0000,03,3,7000,200309,1,15,000000000,1,01,201712,4,4,01,0,12,336434,171092,171092,X20,
010753802,MCINTOSH VOLUNTEER FIRE DEPARTMENT AMBULANCE SERVICE INC,% TERESA DILLMAN,PO BOX 174,MC INTOSH,SD,57641-0174,0000,03,3,2000,200808,1,16,000000000,1,01,201912,0,0,02,0,12,0,0,0,M20,
